t,a_abs (m/s2),a1_measured (m/s2)
79.86,,-0.0053187459000000005
79.87,,-0.0051887894
79.87,,-0.0050144268
79.87,,-0.0048039785
79.88,,-0.0045650662
79.88,,-0.0043042195
79.88,,-0.0040266321
79.89,,-0.0037360726
79.89,,-0.0034349407
79.89,,-0.0031244454
79.9,,-0.002804879
79.9,,-0.0024759485
79.9,,-0.0021371309
79.91,,-0.0017880142
79.91,,-0.0014285955000000001
79.91,,-0.0010595106
79.92,,-0.00068218026
79.92,,-0.00029886511000000004
79.92,,8.736772800000001e-05
79.93,,0.00047275763999999996
79.93,,0.00085302667
79.93,,0.0012235987
79.94,,0.0015798393
79.94,,0.0019172937
79.94,,0.0022319025
79.95,,0.0025201790000000004
79.95,,0.0027793347000000003
79.95,,0.0030073485
79.96,,0.0032029766
79.96,,0.0033657089
79.96,,0.0034956792
79.97,,0.0035935414
79.97,,0.0036603253000000004
79.97,,0.0036972852000000003
79.98,,0.0037057567000000004
79.98,,0.0036870310000000003
79.98,,0.0036422573000000004
79.99,,0.0035723785000000004
79.99,,0.0034781034
79.99,,0.0033599132999999996
80.0,,0.0032181013000000002
80.0,,0.0030528369
80.0,,0.0028642481
80.01,,0.0026525147
80.01,,0.0024179611
80.01,,0.0021611434
80.02,,0.0018829225
80.02,,0.0015845187999999999
80.02,,0.001267545
80.03,,0.0009340152
80.03,,0.00058633289
80.03,,0.00022725762
80.04,,-0.00014014387
80.04,,-0.00051255843
80.04,,-0.0008864938899999999
80.05,,-0.0012583478
80.05,,-0.0016244735
80.05,,-0.0019812385
80.06,,-0.0023250747999999997
80.06,,-0.0026525176000000003
80.06,,-0.0029602342999999996
80.07,,-0.0032450445
80.07,,-0.0035039343000000003
80.07,,-0.0037340683
80.08,,-0.0039328028
80.08,,-0.0040977055
80.08,,-0.004226584
80.09,,-0.0043175258
80.09,,-0.0043689511
80.09,,-0.0043796775
80.1,,-0.0043489937000000005
80.1,,-0.0042767374
80.1,,-0.004163371900000001
80.11,,-0.0040100522
80.11,,-0.0038186743000000003
80.11,,-0.0035918966000000004
80.12,,-0.0033331293000000003
80.12,,-0.0030464826000000003
80.12,,-0.0027366737000000005
80.13,,-0.0024088893
80.13,,-0.0020686104
80.13,,-0.0017214041
80.14,,-0.0013726947
80.14,,-0.001027527
80.14,,-0.00069033946
80.15,,-0.00036476141
80.15,,-5.345429e-05
80.15,,0.00024199086
80.16,,0.00052108667
80.16,,0.00078440679
80.16,,0.0010334657
80.17,,0.0012705253
80.17,,0.0014983388000000002
80.17,,0.0017198488
80.18,,0.0019378594
80.18,,0.0021547083
80.18,,0.002371963
80.19,,0.0025901681
80.19,,0.0028086653000000002
80.19,,0.0030255036000000003
80.2,,0.0032374532
80.2,,0.0034401238
80.2,,0.0036281857
80.21,,0.0037956791
80.21,,0.0039363911000000005
80.21,,0.0040442748
80.22,,0.0041138777999999996
80.22,,0.0041407488
80.22,,0.0041217893
80.23,,0.0040555222
80.23,,0.003942254
80.23,,0.0037841164
80.24,,0.0035849809
80.24,,0.0033502517
80.24,,0.0030865493
80.25,,0.0028013094
80.25,,0.0025023254000000003
80.25,,0.0021972699000000003
80.26,,0.0018932307
80.26,,0.0015962981000000002
80.26,,0.0013112335
80.27,,0.0010412456
80.27,,0.00078788991
80.27,,0.00055109935
80.28,,0.00032934100000000003
80.28,,0.00011988669
80.28,,-8.0826176e-05
80.29,,-0.00027677256000000004
80.29,,-0.00047189105
80.29,,-0.00066964436
80.3,,-0.00087262379
80.3,,-0.0010822289
80.3,,-0.0012984467
80.31,,-0.0015197471000000001
80.31,,-0.0017431011
80.31,,-0.0019641193
80.32,,-0.0021772986
80.32,,-0.0023763559
80.32,,-0.0025546234000000004
80.33,,-0.0027054733
80.33,,-0.0028227406
80.33,,-0.0029011116
80.34,,-0.0029364521
80.34,,-0.0029260516
80.34,,-0.0028687694000000003
80.35,,-0.0027650762
80.35,,-0.0026169917999999998
80.35,,-0.0024279294000000002
80.36,,-0.0022024621
80.36,,-0.0019460324000000002
80.36,,-0.0016646306999999999
80.37,,-0.0013644661
80.37,,-0.0010516563
80.37,,-0.00073195557
80.38,,-0.00041054022
80.38,,-9.1860031e-05
80.38,,0.00022043732999999999
80.39,,0.0005235114300000001
80.39,,0.00081527045
80.39,,0.0010942608
80.4,,0.0013595197
80.4,,0.0016104092
80.4,,0.0018464467
80.41,,0.0020671502
80.41,,0.0022719104
80.41,,0.0024599003
80.42,,0.0026300268
80.42,,0.0027809269
80.42,,0.0029110047000000003
80.43,,0.0030185025
80.43,,0.0031015988
80.43,,0.0031585187999999998
80.44,,0.0031876508
80.44,,0.0031876531000000004
80.44,,0.0031575469
80.45,,0.0030967853
80.45,,0.0030052955999999996
80.45,,0.0028834947
80.46,,0.0027322780000000003
80.46,,0.0025529872999999997
80.46,,0.0023473619000000004
80.47,,0.0021174818000000003
80.47,,0.0018657075
80.47,,0.0015946236
80.48,,0.0013069923
80.48,,0.0010057165
80.48,,0.0006938169399999999
80.49,,0.00037441989000000004
80.49,,5.0752902e-05
80.49,,-0.00027385526000000003
80.5,,-0.00059597652
80.5,,-0.0009120923300000001
80.5,,-0.0012186145
80.51,,-0.0015119216999999999
80.51,,-0.0017884138
80.51,,-0.0020445839
80.52,,-0.0022771063
80.52,,-0.0024829351
80.52,,-0.0026594095000000003
80.53,,-0.0028043549
80.53,,-0.0029161761000000004
80.53,,-0.0029939305
80.54,,-0.0030373763999999998
80.54,,-0.0030469899000000003
80.54,,-0.0030239471000000004
80.55,,-0.0029700686
80.55,,-0.0028877312
80.55,,-0.0027797474
80.56,,-0.0026492224
80.56,,-0.0024993959
80.56,,-0.0023334796
80.57,,-0.0021545026
80.57,,-0.0019651736
80.57,,-0.0017677724
80.58,,-0.0015640768999999998
80.58,,-0.0013553332
80.58,,-0.00114227
80.59,,-0.0009251580299999999
80.59,,-0.00070390951
80.59,,-0.00047821138
80.6,,-0.00024768163
80.6,,-1.2037163e-05
80.6,,0.00022874036
80.61,,0.00047425414
80.61,,0.0007235702400000001
80.61,,0.0009751350400000001
80.62,,0.0012267405
80.62,,0.0014755425
80.62,,0.0017181332
80.63,,0.0019506641
80.63,,0.0021690139
80.63,,0.0023689888
80.64,,0.0025465428
80.64,,0.0026980023
80.64,,0.0028202771
80.65,,0.0029110434
80.65,,0.002968883
80.65,,0.002993368
