Tiempo [s],u [m],v [m/s],a [m/s²]
52.57,-8.858851941722139e-07,-4.217894139514253e-05,0.00047563803615998366
52.58,-1.0222573259619548e-06,-4.0515266421291774e-05,0.0005694954693700321
52.58,-1.1523244836204558e-06,-3.854556000916996e-05,0.0006551608237832129
52.58,-1.2751379105794037e-06,-3.629805341593313e-05,0.0007315249126308192
52.59,-1.3898514505824695e-06,-3.38044510516399e-05,0.0007977475135516792
52.59,-1.495730800808839e-06,-3.109900912581466e-05,0.0008532871348697529
52.59,-1.592159490691041e-06,-2.8217528550692696e-05,0.0008979146087229118
52.6,-1.6786414379346295e-06,-2.5196316774368076e-05,0.0009317095957859716
52.6,-1.7548001198873634e-06,-2.2071175298572973e-05,0.0009550402495499294
52.6,-1.8203745824033294e-06,-1.887646787378351e-05,0.0009685274107113485
52.61,-1.8752126764481938e-06,-1.5644318659735973e-05,0.0009729960655422933
52.61,-1.9192620526683517e-06,-1.2403980066094127e-05,0.0009694173546390769
52.61,-1.9525595465579137e-06,-9.181398257946828e-06,0.000958845348926058
52.62,-1.9752196445097057e-06,-5.9989901077401606e-06,0.000942352985972512
52.62,-1.987422730818058e-06,-2.875630867239602e-06,0.0009209713970554747
52.62,-1.989403778284159e-06,1.7316219093508726e-07,0.0008956367625299595
52.63,-1.9814420641613936e-06,3.134877884175404e-06,0.0008671478486383529
52.63,-1.9638523764529475e-06,5.999528628291622e-06,0.0008361366741632747
52.63,-1.9369780324767933e-06,8.759082312945068e-06,0.0008030537509188188
52.64,-1.9011858737640398e-06,1.1406857102161494e-05,0.000768167872382857
