t,u (m),v (m/s),a (m/s2)
167.23,1.7436235987128612e-09,-9.07527687088667e-08,1.8598051609428456e-05
167.23,1.5460078601641247e-09,-2.7921384545050427e-08,1.9603491410196296e-05
167.23,1.5628471981573118e-09,3.7958164724357226e-08,2.0244969418636678e-05
167.24,1.8021973828074462e-09,1.0562852810847467e-07,2.0469511910333394e-05
167.24,2.267642353114853e-09,1.7366304923742612e-07,2.023287364350916e-05
167.24,2.9577836947256355e-09,2.4049770800030526e-07,1.950295388652375e-05
167.25,3.865855041572703e-09,3.044741683011848e-07,1.8262875674426053e-05
167.25,4.979496182225273e-09,3.638926127645703e-07,1.6513492376332058e-05
167.25,6.280715960336658e-09,4.1707226760011345e-07,1.4275096182596231e-05
167.26,7.746064880197375e-09,4.624168031819354e-07,1.1588143499683793e-05
167.26,9.347028016371425e-09,4.984812310842187e-07,8.512874512725123e-06
167.26,1.1050637005081932e-08,5.240365757275293e-07,5.127784031251306e-06
167.27,1.2820287341321919e-08,5.381285042212167e-07,1.5269587886998897e-06
167.27,1.4616734748123624e-08,5.401262443218519e-07,-2.183588714574954e-06
167.27,1.6399232928204443e-08,5.297585832154701e-07,-5.89042474873372e-06
167.28,1.812676540651602e-08,5.071343819223807e-07,-9.477761991439223e-06
167.28,1.9759317183256273e-08,4.727459749887715e-07,-1.2832794268720817e-05
167.28,2.1259128169177553e-08,4.2745483434496687e-07,-1.585097532823096e-05
167.29,2.2591870158619357e-08,3.7245998466404147e-07,-1.8440880714997723e-05
167.29,2.372769262301158e-08,3.092508060969217e-07,-2.0528357288714725e-05
167.29,2.4642089666741523e-08,2.395468263436437e-07,-2.2059687465427656e-05
167.3,2.531655059363276e-08,1.6522796944969288e-07,-2.3003548420134538e-05
167.3,2.5738969126299034e-08,8.825936266999554e-08,-2.3351664796525447e-05
167.3,2.5903800450083683e-08,1.061508474669346e-08,-2.3118120880973957e-05
167.31,2.5811969890750584e-08,-6.579473441863189e-08,-2.2337402408011176e-05
167.31,2.5470551188932938e-08,-1.391893699577506e-07,-2.1061338183670433e-05
167.31,2.4892244915456395e-08,-2.0797205044411335e-07,-1.935518587666081e-05
167.32,2.4094697670386616e-08,-2.707709969761315e-07,-1.7293163457960592e-05
167.32,2.3099709617891366e-08,-3.2646540308808014e-07,-1.4953783878721858e-05
167.32,2.1932381117447312e-08,-3.741959821984471e-07,-1.241533208511703e-05
167.33,2.062024856401456e-08,-4.133608440750627e-07,-9.75182879738138e-06
